date,location,race_num,is_obstacle,age_condition,race_name,class,track_detail,surface,distance,gender,weight_type
2026-07-04,福島,1,平地,2歳,2歳未勝利,未勝利,,芝,1800,,
2026-07-04,福島,2,平地,3歳,3歳未勝利,未勝利,,芝,2600,,
2026-07-04,福島,3,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-07-04,福島,4,平地,3歳,3歳未勝利,未勝利,,芝,1200,牝馬限定,
2026-07-04,福島,5,平地,2歳,2歳新馬,新馬,,芝,1800,,
2026-07-04,福島,6,平地,2歳,2歳新馬,新馬,,ダート,1700,,
2026-07-04,福島,7,平地,3歳,3歳未勝利,未勝利,,芝,2000,牝馬限定,
2026-07-04,福島,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,,定量
2026-07-04,福島,9,平地,3歳以上,伊達特別,1勝,,芝,2000,,定量
2026-07-04,福島,10,平地,3歳以上,横手特別,2勝,,ダート,1700,,定量
2026-07-04,福島,11,平地,3歳以上,TUF杯,3勝,,ダート,1150,,定量
2026-07-04,福島,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,牝馬限定,定量
2026-07-04,小倉,1,障害,3歳以上,障害3歳以上未勝利,未勝利,,芝,2860,,定量
2026-07-04,小倉,2,平地,3歳,3歳未勝利,未勝利,,芝,1200,,
2026-07-04,小倉,3,平地,3歳,3歳未勝利,未勝利,,芝,2600,,
2026-07-04,小倉,4,平地,3歳,3歳未勝利,未勝利,,ダート,1700,牝馬限定,
2026-07-04,小倉,5,平地,2歳,2歳新馬,新馬,,芝,1200,,
2026-07-04,小倉,6,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-07-04,小倉,7,平地,3歳,3歳未勝利,未勝利,,芝,1800,,
2026-07-04,小倉,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1000,,定量
2026-07-04,小倉,9,平地,3歳以上,小郡特別,1勝,,芝,1200,,定量
2026-07-04,小倉,10,平地,3歳以上,雲仙特別,2勝,,ダート,1000,,定量
2026-07-04,小倉,11,平地,3歳以上,博多ステークス,3勝,,芝,1800,,定量
2026-07-04,小倉,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,牝馬限定,定量
2026-07-04,函館,1,平地,2歳,2歳未勝利,未勝利,,芝,1200,牝馬限定,
2026-07-04,函館,2,平地,3歳,3歳未勝利,未勝利,,芝,1800,,
2026-07-04,函館,3,平地,3歳,3歳未勝利,未勝利,,ダート,1700,牝馬限定,
2026-07-04,函館,4,平地,3歳,3歳未勝利,未勝利,,芝,1200,,
2026-07-04,函館,5,平地,2歳,2歳新馬,新馬,,ダート,1000,,
2026-07-04,函館,6,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-07-04,函館,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,牝馬限定,定量
2026-07-04,函館,8,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,2600,,定量
2026-07-04,函館,9,平地,3歳以上,恵山特別,1勝,,芝,1800,,定量
2026-07-04,函館,10,平地,3歳以上,竜飛崎特別,2勝,,ダート,1700,,定量
2026-07-04,函館,11,平地,3歳以上,TVh杯,3勝,,芝,1200,,定量
2026-07-04,函館,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,,定量
2026-07-05,福島,1,平地,3歳,3歳未勝利,未勝利,,ダート,1700,牝馬限定,
2026-07-05,福島,2,平地,3歳,3歳未勝利,未勝利,,芝,1200,,
2026-07-05,福島,3,平地,3歳,3歳未勝利,未勝利,,芝,1800,,
2026-07-05,福島,4,平地,3歳,3歳未勝利,未勝利,,ダート,1150,,
2026-07-05,福島,5,平地,2歳,2歳新馬,新馬,,芝,2000,,
2026-07-05,福島,6,平地,2歳,2歳新馬,新馬,,芝,1200,,
2026-07-05,福島,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,牝馬限定,定量
2026-07-05,福島,8,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1800,,定量
2026-07-05,福島,9,平地,3歳以上,郡山特別,2勝,,芝,1200,,ハンデ
2026-07-05,福島,10,平地,3歳以上,白河特別,2勝,,芝,1800,,定量
2026-07-05,福島,11,平地,3歳以上,ジュライステークス,OP,,ダート,1700,,ハンデ
2026-07-05,福島,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1150,,定量
2026-07-05,小倉,1,障害,3歳以上,障害3歳以上未勝利,未勝利,,芝,2860,,定量
2026-07-05,小倉,2,平地,2歳,2歳未勝利,未勝利,,芝,1200,,
2026-07-05,小倉,3,平地,3歳,3歳未勝利,未勝利,,芝,2000,牝馬限定,
2026-07-05,小倉,4,平地,3歳,3歳未勝利,未勝利,,ダート,1000,,
2026-07-05,小倉,5,平地,2歳,2歳新馬,新馬,,芝,1800,,
2026-07-05,小倉,6,平地,2歳,2歳新馬,新馬,,ダート,1700,,
2026-07-05,小倉,7,平地,3歳,3歳未勝利,未勝利,,芝,1200,,
2026-07-05,小倉,8,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,2000,,定量
2026-07-05,小倉,9,平地,3歳以上,青島特別,1勝,,芝,1800,,定量
2026-07-05,小倉,10,平地,3歳以上,九州スポーツ杯,2勝,,ダート,1700,牝馬限定,定量
2026-07-05,小倉,11,平地,3歳以上,サマースプリントシリーズ 第61回 テレビ西日本賞 北九州記念（GⅢ）,G3,,芝,1200,,ハンデ
2026-07-05,小倉,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,,定量
2026-07-05,函館,1,平地,2歳,2歳未勝利,未勝利,,芝,1200,,
2026-07-05,函館,2,平地,3歳,3歳未勝利,未勝利,,ダート,1000,,
2026-07-05,函館,3,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-07-05,函館,4,平地,3歳,3歳未勝利,未勝利,,芝,1200,牝馬限定,
2026-07-05,函館,5,平地,2歳,2歳新馬,新馬,,芝,1800,,
2026-07-05,函館,6,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
2026-07-05,函館,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1000,,定量
2026-07-05,函館,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,,定量
2026-07-05,函館,9,平地,3歳以上,立待岬特別,2勝,,芝,1200,牝馬限定,定量
2026-07-05,函館,10,平地,3歳以上,横津岳特別,2勝,,芝,2600,,ハンデ
2026-07-05,函館,11,平地,3歳以上,大沼ステークス,L,,ダート,1700,,別定
2026-07-05,函館,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,,定量
2026-07-11,福島,1,障害,3歳以上,障害3歳以上オープン,OP,,芝,3380,,別定
2026-07-11,福島,2,平地,3歳,3歳未勝利,未勝利,,ダート,1700,牝馬限定,
2026-07-11,福島,3,平地,2歳,2歳未勝利,未勝利,,芝,1800,,
2026-07-11,福島,4,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-07-11,福島,5,平地,2歳,2歳新馬,新馬,,芝,1200,,
2026-07-11,福島,6,平地,3歳,3歳未勝利,未勝利,,芝,1800,,
2026-07-11,福島,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,2000,,定量
2026-07-11,福島,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1150,,定量
2026-07-11,福島,9,平地,3歳以上,信夫山特別,2勝,,芝,2600,,定量
2026-07-11,福島,10,平地,3歳以上,会津ステークス,3勝,,芝,1200,,ハンデ
2026-07-11,福島,11,平地,3歳以上,安達太良ステークス,OP,,芝,1200,,別定
2026-07-11,福島,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,,定量
2026-07-11,小倉,1,平地,2歳,2歳未勝利,未勝利,,芝,1200,,
2026-07-11,小倉,2,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-07-11,小倉,3,平地,3歳,3歳未勝利,未勝利,,芝,2000,牝馬限定,
2026-07-11,小倉,4,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-07-11,小倉,5,平地,2歳,2歳新馬,新馬,,芝,1800,牝馬限定,
2026-07-11,小倉,6,平地,3歳,3歳未勝利,未勝利,,芝,1200,,
2026-07-11,小倉,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1800,,定量
2026-07-11,小倉,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,牝馬限定,定量
2026-07-11,小倉,9,平地,3歳以上,英彦山特別,1勝,,芝,2600,,定量
2026-07-11,小倉,10,平地,3歳以上,耶馬渓特別,2勝,,芝,1200,,定量
2026-07-11,小倉,11,平地,3歳以上,釜山ステークス,3勝,,ダート,1000,,定量
2026-07-11,小倉,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,,定量
2026-07-11,函館,1,平地,2歳,2歳未勝利,未勝利,,ダート,1000,,
2026-07-11,函館,2,平地,3歳,3歳未勝利,未勝利,,ダート,1700,牝馬限定,
2026-07-11,函館,3,平地,3歳,3歳未勝利,未勝利,,芝,1200,,
2026-07-11,函館,4,平地,3歳,3歳未勝利,未勝利,,芝,1800,,
2026-07-11,函館,5,平地,2歳,2歳新馬,新馬,,芝,1200,,
2026-07-11,函館,6,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-07-11,函館,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1800,牝馬限定,定量
2026-07-11,函館,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,,定量
2026-07-11,函館,9,平地,3歳以上,北斗特別,1勝,,芝,2000,,定量
2026-07-11,函館,10,平地,3歳以上,HTB杯,2勝,,芝,1200,,定量
2026-07-11,函館,11,平地,3歳以上,五稜郭ステークス,3勝,,芝,1800,,定量
2026-07-11,函館,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1000,,定量
2026-07-12,福島,1,障害,3歳以上,障害3歳以上未勝利,未勝利,,芝,2770,,定量
2026-07-12,福島,2,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-07-12,福島,3,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
2026-07-12,福島,4,平地,2歳,2歳新馬,新馬,,芝,1200,,
2026-07-12,福島,5,平地,2歳,2歳新馬,新馬,,芝,1800,,
2026-07-12,福島,6,平地,3歳,3歳未勝利,未勝利,,ダート,1150,,
2026-07-12,福島,7,平地,3歳,3歳未勝利,未勝利,,芝,1200,,
2026-07-12,福島,8,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,,定量
2026-07-12,福島,9,平地,3歳以上,織姫賞,1勝,,芝,1800,牝馬限定,定量
2026-07-12,福島,10,平地,3歳以上,天の川ステークス,3勝,,ダート,1700,,定量
