date,location,race_num,is_obstacle,age_condition,race_name,class,track_detail,surface,distance,gender,weight_type
2026-11-01,東京,1,平地,2歳,2歳未勝利,未勝利,,芝,1400,牝馬限定,
2026-11-01,東京,2,平地,2歳,2歳未勝利,未勝利,,ダート,1400,,
2026-11-01,東京,3,平地,2歳,2歳未勝利,未勝利,,芝,1800,,
2026-11-01,東京,4,平地,2歳,2歳新馬,新馬,,芝,1600,,
2026-11-01,東京,5,平地,2歳,2歳新馬,新馬,,芝,2000,,
2026-11-01,東京,6,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1400,,定量
2026-11-01,東京,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1600,,定量
2026-11-01,東京,8,平地,3歳以上,本栖湖特別,2勝,,芝,2400,,定量
2026-11-01,東京,9,平地,3歳以上,紅葉ステークス,3勝,,芝,1600,,定量
2026-11-01,東京,10,平地,3歳以上,秋嶺ステークス,3勝,,ダート,1300,,定量
2026-11-01,東京,11,平地,3歳以上,第174回 天皇賞（秋）（GⅠ）,G1,,芝,2000,,定量
2026-11-01,東京,12,平地,3歳以上,清里特別,2勝,,ダート,1600,,ハンデ
2026-11-01,京都,1,平地,2歳,2歳未勝利,未勝利,,ダート,1400,牝馬限定,
2026-11-01,京都,2,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-11-01,京都,3,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-11-01,京都,4,障害,3歳以上,障害3歳以上未勝利,未勝利,,ダート,2910,,定量
2026-11-01,京都,5,平地,2歳,2歳新馬,新馬,,芝,1600,,
2026-11-01,京都,6,平地,2歳,2歳新馬,新馬,,ダート,1800,,
2026-11-01,京都,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1400,,定量
2026-11-01,京都,8,平地,3歳以上,3歳以上1勝クラス,1勝,外,芝,2200,,定量
2026-11-01,京都,9,平地,3歳以上,愛宕特別,2勝,,ダート,1800,,定量
2026-11-01,京都,10,平地,3歳以上,古都ステークス,3勝,外,芝,3000,,ハンデ
2026-11-01,京都,11,平地,3歳以上,まほろばステークス,L,外,芝,1600,,ハンデ
2026-11-01,京都,12,平地,3歳以上,3歳以上2勝クラス,2勝,外,芝,1400,,定量
2026-11-08,東京,1,平地,2歳,2歳未勝利,未勝利,,ダート,1600,,
2026-11-08,東京,2,平地,2歳,2歳未勝利,未勝利,,芝,1600,牝馬限定,
2026-11-08,東京,3,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-11-08,東京,4,平地,2歳,2歳新馬,新馬,,ダート,1600,,
2026-11-08,東京,5,平地,2歳,2歳新馬,新馬,,芝,2000,,
2026-11-08,東京,6,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1300,,定量
2026-11-08,東京,7,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1600,,定量
2026-11-08,東京,8,平地,3歳以上,3歳以上2勝クラス,2勝,,ダート,1300,,定量
2026-11-08,東京,9,平地,2歳,百日草特別,1勝,,芝,2000,,
2026-11-08,東京,10,平地,3歳以上,錦秋ステークス,3勝,,ダート,1600,,定量
2026-11-08,東京,11,平地,3歳以上,第64回 アルゼンチン共和国杯（GⅡ）,G2,,芝,2500,,ハンデ
2026-11-08,東京,12,平地,3歳以上,3歳以上2勝クラス,2勝,,芝,1400,,定量
2026-11-08,京都,1,平地,2歳,2歳未勝利,未勝利,,ダート,1200,,
2026-11-08,京都,2,平地,2歳,2歳未勝利,未勝利,,ダート,1400,,
2026-11-08,京都,3,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-11-08,京都,4,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-11-08,京都,5,平地,2歳,2歳新馬,新馬,,芝,2000,,
2026-11-08,京都,6,平地,2歳,2歳新馬,新馬,,芝,1400,,
2026-11-08,京都,7,平地,3歳以上,3歳以上2勝クラス,2勝,,ダート,1800,牝馬限定,定量
2026-11-08,京都,8,平地,3歳以上,3歳以上2勝クラス,2勝,外,芝,2400,,定量
2026-11-08,京都,9,平地,2歳,もちのき賞,1勝,,ダート,1800,,
2026-11-08,京都,10,平地,3歳以上,清水ステークス,3勝,外,芝,1600,,定量
2026-11-08,京都,11,平地,3歳以上,第16回 みやこステークス（GⅢ）,G3,,ダート,1800,,別定
2026-11-08,京都,12,平地,3歳以上,3歳以上1勝クラス,1勝,外,芝,1400,,定量
2026-11-08,福島,1,平地,2歳,2歳未勝利,未勝利,,ダート,1150,,
2026-11-08,福島,2,平地,2歳,2歳未勝利,未勝利,,芝,1200,,
2026-11-08,福島,3,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,牝馬限定,定量
2026-11-08,福島,4,障害,3歳以上,障害3歳以上未勝利,未勝利,,芝,2750,,定量
2026-11-08,福島,5,障害,3歳以上,障害3歳以上未勝利,未勝利,,芝,2750,,定量
2026-11-08,福島,6,平地,2歳,2歳新馬,新馬,,ダート,1700,,
2026-11-08,福島,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,,定量
2026-11-08,福島,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1150,,定量
2026-11-08,福島,9,平地,3歳以上,二本松特別,1勝,,芝,1800,,定量
2026-11-08,福島,10,平地,3歳以上,河北新報杯,2勝,,ダート,1700,,定量
