date,location,race_num,is_obstacle,age_condition,race_name,class,track_detail,surface,distance,gender,weight_type
2026-09-05,中山,1,障害,3歳以上,障害3歳以上オープン,OP,,ダート,3200,,別定
2026-09-05,中山,2,平地,3歳,3歳未勝利,未勝利,外,芝,1600,,
2026-09-05,中山,3,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-09-05,中山,4,平地,2歳,2歳未勝利,未勝利,,芝,1800,,
2026-09-05,中山,5,平地,2歳,2歳新馬,新馬,,芝,2000,,
2026-09-05,中山,6,平地,2歳,2歳新馬,新馬,,ダート,1200,,
2026-09-05,中山,7,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-09-05,中山,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,牝馬限定,定量
2026-09-05,中山,9,平地,3歳以上,古作特別,1勝,,芝,1800,,定量
2026-09-05,中山,10,平地,3歳以上,白井特別,2勝,外,芝,1200,,定量
2026-09-05,中山,11,平地,3歳以上,サマーマイルシリーズ 第71回 京成杯オータムハンデキャップ（GⅢ）,G3,外,芝,1600,,ハンデ
2026-09-05,中山,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-09-05,阪神,1,平地,2歳,2歳未勝利,未勝利,,ダート,1400,,
2026-09-05,阪神,2,平地,2歳,2歳未勝利,未勝利,外,芝,1800,,
2026-09-05,阪神,3,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-09-05,阪神,4,平地,3歳,3歳未勝利,未勝利,外,芝,1600,,
2026-09-05,阪神,5,平地,2歳,2歳新馬,新馬,,芝,1400,,
2026-09-05,阪神,6,平地,2歳,2歳新馬,新馬,,ダート,1400,,
2026-09-05,阪神,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,,定量
2026-09-05,阪神,8,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,2000,,定量
2026-09-05,阪神,9,平地,3歳以上,出石特別,2勝,,ダート,1800,,定量
2026-09-05,阪神,10,平地,3歳以上,西宮ステークス,3勝,外,芝,1800,,定量
2026-09-05,阪神,11,平地,3歳以上,エニフステークス,L,,ダート,1400,,ハンデ
2026-09-05,阪神,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1400,,定量
2026-09-05,札幌,1,平地,2歳,2歳未勝利,未勝利,,ダート,1700,,
2026-09-05,札幌,2,平地,2歳,2歳未勝利,未勝利,,芝,1200,,
2026-09-05,札幌,3,平地,3歳,3歳未勝利,未勝利,,ダート,1000,,
2026-09-05,札幌,4,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-09-05,札幌,5,平地,2歳,2歳新馬,新馬,,芝,1500,,
2026-09-05,札幌,6,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
2026-09-05,札幌,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1800,牝馬限定,定量
2026-09-05,札幌,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,,定量
2026-09-05,札幌,9,平地,3歳以上,Fビレッジ特別,1勝,,芝,2000,,定量
2026-09-05,札幌,10,平地,3歳以上,札幌スポニチ賞,2勝,,芝,1200,,定量
2026-09-05,札幌,11,平地,2歳,第61回 農林水産省賞典 札幌2歳ステークス（GⅢ）,G3,,芝,1800,,
2026-09-05,札幌,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,牝馬限定,定量
2026-09-06,中山,1,障害,3歳以上,障害3歳以上未勝利,未勝利,,ダート,2880,,定量
2026-09-06,中山,2,平地,2歳,2歳未勝利,未勝利,外,芝,1200,,
2026-09-06,中山,3,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-09-06,中山,4,平地,3歳,3歳未勝利,未勝利,,ダート,1200,,
2026-09-06,中山,5,平地,2歳,2歳新馬,新馬,外,芝,1600,,
2026-09-06,中山,6,平地,2歳,2歳新馬,新馬,,ダート,1800,,
2026-09-06,中山,7,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
2026-09-06,中山,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-09-06,中山,9,平地,3歳以上,浦安特別,2勝,,ダート,1200,,定量
2026-09-06,中山,10,平地,3歳以上,セプテンバーステークス,3勝,外,芝,1200,,ハンデ
2026-09-06,中山,11,平地,3歳,第11回 紫苑ステークス（GⅡ） （秋華賞トライアル）,G2,,芝,2000,牝馬限定,
2026-09-06,中山,12,平地,3歳以上,3歳以上1勝クラス,1勝,外,芝,1200,,定量
2026-09-06,阪神,1,平地,2歳,2歳未勝利,未勝利,,芝,1400,,
2026-09-06,阪神,2,平地,3歳,3歳未勝利,未勝利,,ダート,1200,,
2026-09-06,阪神,3,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-09-06,阪神,4,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
2026-09-06,阪神,5,平地,2歳,2歳新馬,新馬,外,芝,1800,,
2026-09-06,阪神,6,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,牝馬限定,定量
2026-09-06,阪神,7,平地,3歳以上,3歳以上1勝クラス,1勝,外,芝,1600,,定量
2026-09-06,阪神,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-09-06,阪神,9,平地,3歳以上,武田尾特別,2勝,外,芝,1600,,定量
2026-09-06,阪神,10,平地,3歳以上,オークランドサラブレッドレーシングトロフィー,3勝,,ダート,1200,,ハンデ
2026-09-06,阪神,11,平地,3歳以上,サマースプリントシリーズ 第40回 産経賞セントウルステークス（GⅡ）,G2,,芝,1200,,別定
2026-09-06,阪神,12,平地,3歳以上,3歳以上2勝クラス,2勝,,ダート,1400,,定量
2026-09-06,札幌,1,平地,3歳,3歳未勝利,未勝利,,ダート,1700,牝馬限定,
2026-09-06,札幌,2,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-09-06,札幌,3,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-09-06,札幌,4,平地,3歳,3歳未勝利,未勝利,,芝,1200,,
2026-09-06,札幌,5,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
2026-09-06,札幌,6,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1000,,定量
2026-09-06,札幌,7,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,,定量
2026-09-06,札幌,8,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1500,,定量
2026-09-06,札幌,9,平地,3歳以上,旭川特別,2勝,,ダート,1700,,定量
2026-09-06,札幌,10,平地,3歳以上,HTB賞,2勝,,芝,1800,,定量
2026-09-06,札幌,11,平地,3歳以上,丹頂ステークス,OP,,芝,2600,,ハンデ
2026-09-06,札幌,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,,定量
2026-09-12,中山,1,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
2026-09-12,中山,2,平地,2歳,2歳未勝利,未勝利,外,芝,1600,,
2026-09-12,中山,3,平地,3歳,3歳未勝利,未勝利,,ダート,1200,,
2026-09-12,中山,4,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
2026-09-12,中山,5,平地,2歳,2歳新馬,新馬,外,芝,1600,,
2026-09-12,中山,6,平地,2歳,2歳新馬,新馬,,ダート,1200,,
2026-09-12,中山,7,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-09-12,中山,8,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,2500,,定量
2026-09-12,中山,9,平地,3歳以上,御宿特別,2勝,外,芝,1600,牝馬限定,定量
2026-09-12,中山,10,平地,3歳以上,レインボーステークス,3勝,,芝,2000,,ハンデ
2026-09-12,中山,11,平地,3歳以上,ラジオ日本賞,OP,,ダート,1200,,別定
2026-09-12,中山,12,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-09-12,阪神,1,障害,3歳以上,障害3歳以上未勝利,未勝利,,ダート,2970,,定量
2026-09-12,阪神,2,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-09-12,阪神,3,平地,2歳,2歳未勝利,未勝利,,ダート,1800,,
