date,location,race_num,is_obstacle,age_condition,race_name,class,track_detail,surface,distance,gender,weight_type
2026-04-04,中山,1,平地,3歳,3歳未勝利,未勝利,,ダート,1200,牝馬限定,
2026-04-04,中山,2,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-04-04,中山,3,平地,3歳,3歳未勝利,未勝利,,ダート,1200,,
2026-04-04,中山,4,障害,4歳以上,障害4歳以上未勝利,未勝利,,ダート,2880,,定量
2026-04-04,中山,5,平地,3歳,3歳未勝利,未勝利,外,芝,1600,,
2026-04-04,中山,6,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-04-04,中山,7,平地,4歳以上,4歳以上1勝クラス,1勝,,芝,2000,,定量
2026-04-04,中山,8,平地,4歳以上,4歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-04-04,中山,9,平地,3歳,山吹賞,1勝,外,芝,2200,,
2026-04-04,中山,10,平地,4歳以上,千葉日報杯,2勝,,ダート,1800,,定量
2026-04-04,中山,11,平地,4歳以上,第58回 ダービー卿チャレンジトロフィー（GⅢ）,G3,外,芝,1600,,ハンデ
2026-04-04,中山,12,平地,4歳以上,4歳以上2勝クラス,2勝,,ダート,1200,,定量
2026-04-04,阪神,1,平地,3歳,3歳未勝利,未勝利,,ダート,1800,牝馬限定,
2026-04-04,阪神,2,平地,3歳,3歳未勝利,未勝利,,ダート,1400,,
2026-04-04,阪神,3,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-04-04,阪神,4,平地,3歳,3歳未勝利,未勝利,,芝,1400,,
2026-04-04,阪神,5,平地,3歳,3歳未勝利,未勝利,外,芝,1800,,
2026-04-04,阪神,6,平地,4歳以上,4歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-04-04,阪神,7,平地,4歳以上,4歳以上1勝クラス,1勝,,ダート,1800,,定量
2026-04-04,阪神,8,平地,4歳以上,4歳以上2勝クラス,2勝,,芝,1200,,定量
2026-04-04,阪神,9,平地,3歳,アザレア賞,1勝,外,芝,2400,,
2026-04-04,阪神,10,平地,4歳以上,ポラリスステークス,OP,,ダート,1400,,ハンデ
2026-04-04,阪神,11,平地,3歳,第35回 チャーチルダウンズカップ（GⅢ） （NHKマイルカップトライアル）,G3,外,芝,1600,,
2026-04-04,阪神,12,平地,4歳以上,4歳以上2勝クラス,2勝,,ダート,1400,,定量
2026-04-05,中山,1,平地,3歳,3歳未勝利,未勝利,,ダート,1800,牝馬限定,
2026-04-05,中山,2,平地,3歳,3歳未勝利,未勝利,,ダート,1200,,
2026-04-05,中山,3,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-04-05,中山,4,障害,4歳以上,障害4歳以上未勝利,未勝利,,ダート,2880,,定量
2026-04-05,中山,5,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
