date,location,race_num,is_obstacle,age_condition,race_name,class,track_detail,surface,distance,gender,weight_type
2026-08-01,新潟,1,平地,2歳,2歳未勝利,未勝利,直,芝,1000,,
2026-08-01,新潟,2,平地,2歳,2歳新馬,新馬,外,芝,1800,,
2026-08-01,新潟,3,平地,2歳,2歳新馬,新馬,,芝,1400,,
2026-08-01,新潟,4,平地,3歳,3歳未勝利,未勝利,,ダート,1800,牝馬限定,
2026-08-01,新潟,5,平地,3歳,3歳未勝利,未勝利,,ダート,1200,,
2026-08-01,新潟,6,平地,3歳以上,月岡温泉特別,2勝,外,芝,1800,,定量
2026-08-01,新潟,7,平地,3歳以上,柳都ステークス,3勝,,ダート,1800,,ハンデ
2026-08-01,新潟,8,平地,3歳以上,燕特別,1勝,,芝,2200,,定量
2026-08-01,新潟,9,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-08-01,新潟,10,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-08-01,新潟,11,平地,3歳,3歳未勝利,未勝利,,芝,2000,牝馬限定,
2026-08-01,新潟,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1200,,定量
2026-08-01,中京,1,平地,2歳,2歳未勝利,未勝利,,芝,2000,,
2026-08-01,中京,2,平地,2歳,2歳新馬,新馬,,芝,1400,牝馬限定,
2026-08-01,中京,3,平地,3歳,3歳未勝利,未勝利,,芝,2000,,
2026-08-01,中京,4,平地,3歳,3歳未勝利,未勝利,,ダート,1800,牝馬限定,
2026-08-01,中京,5,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-08-01,中京,6,平地,3歳以上,桶狭間ステークス,3勝,,ダート,1400,,定量
2026-08-01,中京,7,平地,3歳以上,豊橋ステークス,3勝,,芝,1600,,ハンデ
2026-08-01,中京,8,平地,3歳以上,日進特別,2勝,,ダート,1800,,定量
2026-08-01,中京,9,障害,3歳以上,障害3歳以上未勝利,未勝利,,芝,3000,,定量
2026-08-01,中京,10,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1200,,定量
2026-08-01,中京,11,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,2000,牝馬限定,定量
2026-08-01,中京,12,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1600,,定量
2026-08-01,札幌,1,平地,3歳,3歳未勝利,未勝利,,ダート,1000,,
2026-08-01,札幌,2,平地,2歳,2歳未勝利,未勝利,,芝,1800,,
2026-08-01,札幌,3,平地,3歳,3歳未勝利,未勝利,,ダート,1700,,
2026-08-01,札幌,4,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1800,,定量
2026-08-01,札幌,5,平地,2歳,2歳新馬,新馬,,芝,1500,,
2026-08-01,札幌,6,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1000,牝馬限定,定量
2026-08-01,札幌,7,平地,3歳,3歳未勝利,未勝利,,芝,1800,,
2026-08-01,札幌,8,平地,3歳以上,3歳以上1勝クラス,1勝,,ダート,1700,,定量
2026-08-01,札幌,9,平地,3歳以上,3歳以上1勝クラス,1勝,,芝,1500,牝馬限定,定量
2026-08-01,札幌,10,平地,3歳以上,釧路湿原特別,2勝,,芝,1800,,定量
2026-08-01,札幌,11,平地,3歳以上,STV賞,3勝,,芝,2000,,ハンデ
2026-08-01,札幌,12,平地,3歳以上,大倉山特別,2勝,,ダート,1700,牝馬限定,定量
2026-08-02,新潟,1,平地,2歳,2歳未勝利,未勝利,外,芝,1600,,
2026-08-02,新潟,2,平地,2歳,2歳新馬,新馬,,ダート,1800,,
2026-08-02,新潟,3,平地,2歳,2歳新馬,新馬,外,芝,1600,,
2026-08-02,新潟,4,平地,3歳,3歳未勝利,未勝利,,ダート,1800,,
2026-08-02,新潟,5,平地,3歳,3歳未勝利,未勝利,外,芝,1800,,
2026-08-02,新潟,6,平地,3歳以上,苗場特別,2勝,,ダート,1800,,定量
